municipio_distrito;fecha_informe;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Villamanta;2023/04/25 11:37:00;;143,27;1744
Cabanillas de la Sierra;2023/04/25 11:37:00;;0;297
Cenicientos;2023/04/25 11:37:00;;145,56;376
Puentes Viejas;2023/04/25 11:37:00;;0;9020
Aranjuez;2023/04/25 11:37:00;20;147,56;133
Cercedilla;2023/04/25 11:37:00;;280,11;382
Santorcaz;2023/04/25 11:37:00;;0;1369
Coslada;2023/04/25 11:37:00;27;115,82;493
Morata de Tajuña;2023/04/25 11:37:00;;0;915
Robregordo;2023/04/25 11:37:00;;0;1261
Navarredonda y San Mamés;2023/04/25 11:37:00;;3448,28;973
Venturada;2023/04/25 11:37:00;;218,34;1697
Navacerrada;2023/04/25 11:37:00;;0;936
Montejo de la Sierra;2023/04/25 11:37:00;;1626,02;881
Fresno de Torote;2023/04/25 11:37:00;;219,78;571
Pinilla del Valle;2023/04/25 11:37:00;;0;1126
Valdemaqueda;2023/04/25 11:37:00;;0;1599
Navas del Rey;2023/04/25 11:37:00;;0;992
Olmeda de las Fuentes;2023/04/25 11:37:00;;2702,7;1013
Bustarviejo;2023/04/25 11:37:00;;0;284
